"id_producto";"referencia";"categoria_01";"categoria_02";"categoria_03";"categoria_04";"categoria_05";"categoria_06";"categoria_07";"categoria_08";"categoria_09";"categoria_10";"categoria_11";"categoria_12";"categoria_13";"categoria_14";"categoria_15";"categoria_16";"categoria_17";"categoria_18";"categoria_19";"categoria_20";"categoria_21";"categoria_22";"categoria_23";"categoria_24";"categoria_25";"categoria_26";"categoria_27";"categoria_28";"categoria_29";"categoria_30";"categoria_31";"categoria_32";"categoria_33";"categoria_34";"categoria_35";"categoria_36";"categoria_37";"categoria_38";"categoria_39";"categoria_40";"categoria_41";"categoria_42";"categoria_43";"categoria_44";"categoria_45";"categoria_46";"categoria_47";"categoria_48";"categoria_49";"categoria_50"
"18526";"D-212481";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18527";"D-212482";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18528";"D-212483";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18529";"D-212484";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18530";"D-212485";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18531";"D-212486";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18535";"D-212489";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18539";"D-212490";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18542";"D-212491";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18549";"D-212496";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18550";"D-212497";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18551";"D-212498";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18555";"D-212512";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"18556";"D-212513";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"20290";"D-212739";"Juguetes XXX|Accesorios para el pene"
"20292";"D-212741";"Juguetes XXX|Accesorios para el pene"
"20293";"D-212742";"Juguetes XXX|Accesorios para el pene"
"20294";"D-212743";"Juguetes XXX|Accesorios para el pene"
